Geo Point;Geo Shape;ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE
48.8427450435, 2.31289346217;"{""type"": ""Point"", ""coordinates"": [2.312893462173977, 48.84274504350038]}";841.0;EDP;19;;37 bd Pasteur;75.0;75015;Borne-fontaine;1.0;Non;;Oui;Oui;;;;37 bd Pasteur;115.0;4.0;7089;37;;BD;PASTEUR;7089-37;;15.0;58.0;1
48.8318803612, 2.31304197472;"{""type"": ""Point"", ""coordinates"": [2.313041974717848, 48.831880361227775]}";752.0;DEVE;;Square Alésia - Ridder;209 rue d'Alésia;75.0;75014;Modèle spécifique;1.0;Non;Non;Non;Oui;Oui;Oui;;209 rue d Alesia;114.0;7.0;0143;209;;RUE;ALESIA;0143-209;;14.0;56.0;1
48.8339263547, 2.31485224683;"{""type"": ""Point"", ""coordinates"": [2.31485224683213, 48.83392635471102]}";807.0;DVD;14/132;;21 rue de Gergovie;75.0;75014;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;21 rue de Gergovie;114.0;14.0;4171;21;;RUE;GERGOVIE;4171-21;;14.0;56.0;1
48.8674848432, 2.31717535158;"{""type"": ""Point"", ""coordinates"": [2.317175351575032, 48.867484843193765]}";277.0;DEVE;;Champs Elysées (jardins) Secteur Grill du Coq.;1 avenue de Marigny;75.0;75008;Borne-fontaine;2.0;Non;Non;Non;Non;Oui;Oui;;1 avenue de Marigny;108.0;4.0;6088;1;;AV;MARIGNY;6088-1;;8.0;31.0;1
48.8257582205, 2.31503527408;"{""type"": ""Point"", ""coordinates"": [2.315035274079789, 48.82575822049963]}";795.0;DVD;14/107;;103 Boulevard Brune;75.0;75014;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;103 Boulevard Brune;114.0;14.0;1333;103;;BD;BRUNE;1333-103;;14.0;56.0;1
48.8303541847, 2.31686468568;"{""type"": ""Point"", ""coordinates"": [2.316864685675518, 48.83035418474676]}";737.0;DEVE;;Square Frédéric-Bazille;18 rue Jacquier;75.0;75014;Borne-fontaine;1.0;Non;Non;Non;;Oui;Oui;;18 rue Jacquier;114.0;4.0;4808;18;;RUE;JACQUIER;4808-18;;14.0;56.0;1
48.836266465, 2.31597372098;"{""type"": ""Point"", ""coordinates"": [2.315973720981171, 48.83626646497257]}";753.0;DEVE;;Square du Cardinal Wyszynski;54 rue Vercingétorix;75.0;75014;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;54 rue Vercingetorix;114.0;7.0;9661;54;;RUE;VERCINGETORIX;9661-54;;14.0;56.0;1
48.8777233269, 2.31782167024;"{""type"": ""Point"", ""coordinates"": [2.317821670236406, 48.87772332687155]}";291.0;DPA;37;Fontaine de la Mairie du 8ème;3 rue de Lisbonne;75.0;75008;Fontaine ornementale;1.0;Non;Non;;Non;;Oui;;3 rue de Lisbonne;108.0;12.0;5708;3;;RUE;LISBONNE;5708-3;;8.0;32.0;0
48.8298190658, 2.31794202458;"{""type"": ""Point"", ""coordinates"": [2.317942024577638, 48.82981906579842]}";745.0;EDP;16;;75 rue Didot;75.0;75014;Borne-fontaine;1.0;Non;;Oui;Oui;;;;75 rue Didot;114.0;4.0;2794;75;;RUE;DIDOT;2794-75;;14.0;56.0;1
48.837238474, 2.31827687692;"{""type"": ""Point"", ""coordinates"": [2.318276876920488, 48.83723847399493]}";767.0;DPA;60;Fontaine Catalogne;Place de Catalogne;75.0;75014;Fontaine ornementale;1.0;Non;Non;Oui;Non;;Non;;pl de Catalogne;114.0;12.0;1604;1;;PL;CATALOGNE;1604-1;numnr;14.0;56.0;0
48.8319945635, 2.31963271524;"{""type"": ""Point"", ""coordinates"": [2.319632715240851, 48.83199456346583]}";754.0;DEVE;;Square Alberto Giacometti;8 cité Bauer;75.0;75014;Modèle spécifique;3.0;Non;Non;Non;Oui;Oui;Oui;;8 cite Bauer;114.0;7.0;0738;8;;CI;BAUER;0738-8;;14.0;56.0;1
